380,2358,4880,7120,8330,9038,9294,9299
427,3245,8038,12722,14963,16388,16774,16784
684,4888,12915,20048,23421,25495,26125,26145
793,5725,15760,25199,29739,32522,33381,33401
666,5056,15254,26499,32267,35819,36847,36867
873,5376,16662,29494,36768,41166,42406,42426
871,5476,17472,31360,40055,45090,46539,46559
846,5733,17509,32664,42956,48843,50616,50636
862,5764,17606,33268,44720,51498,53536,53556
855,5779,17904,34266,47087,54792,57057,57077
868,5860,17845,34396,48334,56770,59192,59212
887,6335,18303,35646,50159,59248,61772,61792
893,6293,18139,35574,49862,59406,61954,61974
891,5849,17414,33993,48414,58308,60856,60876
917,6092,17764,35018,49255,59182,61668,61688
859,6041,18053,36229,50467,60220,62651,62671
828,5832,17339,35241,49179,58368,60696,60716
799,5773,17279,34773,49121,57419,59562,59582
802,5464,17582,34279,49255,57081,59005,59025
800,5291,16540,32633,47984,54787,56556,56576
767,5001,16373,31511,46593,52368,53828,53848
712,4567,14838,29208,43574,48345,49496,49516
575,4205,13493,24803,37170,40506,41270,41285
384,3153,10385,21256,28810,30622,30990,30995
